Clock:offsetTime,IMU1.pressAlti (m),IMU1.altitudeMSL (m),IMU1.relativeHeight (m),IMU1.roll (deg.),IMU1.pitch (deg.),IMU1.yaw (deg.N),IMU1.accelX (m/s²),IMU1.accelY (m/s²),IMU1.accelZ (m/s²),IMU1.accelComposite (m/s²),IMU1.velN (m/s),IMU1.velE (m/s),IMU1.velD (m/s),IMU1.velComposite (m/s),IMU1.velH (m/s),IMU1.temperature (°F),IMU1.tiltInclination (deg.),IMU1.distanceTravelled (m),IMU2.pressAlti (m),IMU2.altitudeMSL (m),IMU2.relativeHeight (m),IMU2.roll (deg.),IMU2.pitch (deg.),IMU2.yaw (deg.N),IMU2.accelX (m/s²),IMU2.accelY (m/s²),IMU2.accelZ (m/s²),IMU2.accelComposite (m/s²),IMU2.velN (m/s),IMU2.velE (m/s),IMU2.velD (m/s),IMU2.velComposite (m/s),IMU2.velH (m/s),IMU2.temperature (°F),IMU2.tiltInclination (deg.),Ultrasound.height (m),GPS.numSats,GPS.Lat,GPS.Long,GPS.altitudeMSL (m),GPS.velN (m/s),GPS.velE (m/s),GPS.velD (m/s),Wind.speed (m/s),Wind.direction (rel.N),Wind.valid,Control.pitch,Control.roll,Control.yaw,Control.throttle,Motor.RFront (RPM),Motor.LFront (RPM),Motor.LBack (RPM),Motor.RBack (RPM),Motor.RFront (Volts),Motor.LFront (Volts),Motor.LBack (Volts),Motor.RBack (Volts),Motor.RFront (Amperes),Motor.LFront (Amperes),Motor.LBack (Amperes),Motor.RBack (Amperes),OsdData.relativeHeight (m),OsdData.pitch,OsdData.roll,OsdData.yaw,OsdData.ultrasonicHeight (dm),VIO.roll (deg.),VIO.pitch (deg.),VIO.yaw (deg.),Bat.Voltage (mV),Bat.Current (mA),Bat.%
-24.689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.941,170.25983,170.63611,-1.03184533984376,0.477674463613863,3.2019972624976,-50.0450126125109,0.05419956,-0.009642716,-1.0030936,1.004603,-0.05109732,-0.003170289,0.0068052104,0.05164589,0.0511955749614723,52.1,3.23728445791673,18.5675988908052,170.17792,169.92075,-1.11375451953126,0.556321016431724,3.17953429580306,-68.2219729874913,0.054452963,-0.009833578,-1.0035241,1.0050484,0.0000695301,0.00007895479,0.00009852225,0.0001441351,0.000105205959132614,52.09,3.22764040380334,0.1,8,51.0249894,13.7241362,160.348,0.01,0,0.01,0.21182346,30.2784897176796,1,0,0,0,0,0,0,0,0,12.02,12.02,12.02,12.07,0,0,0,0,0,42,1,-681,0,0.568438275997918,3.17635448360098,103.776709770439,11977,3693.0347,73
65.999,170.25983,170.63611,0.250198660156258,0.477674463613863,3.2019972624976,-50.0450126125109,0.05419956,-0.009642716,-1.0030936,1.004603,-0.05109732,-0.003170289,0.0068052104,0.05164589,0.0511955749614723,52.1,3.23728445791673,18.5675988908052,170.31612,169.92062,0.30648833300782,0.564528285502797,3.18091707882929,-68.2130506885767,0.05604492,-0.011158681,-1.0038788,1.0055039,0.0004984076,0.0010974397,-0.0011452048,0.0016626117,0.00120531483977732,52.11,3.23042071025634,0.1,8,51.0249894,13.7241362,160.348,0.01,0,0.01,0.21182346,30.2784897176796,1,0,0,0,0,0,0,0,0,12.02,12.02,12.02,12.07,0,0,0,0,0,42,1,-681,0,0.568438275997918,3.17635448360098,103.776709770439,11977,3693.0347,73
66.038,170.31612,170.64572,0.30648833300782,0.480058727259042,3.19773718156657,-50.052609003011,0.058536593,-0.011157876,-1.0022916,1.0040615,-0.05048333,-0.0047461707,-0.00088599743,0.050713688,0.0507059455933444,52.1,3.23342292522104,18.5798910939169,170.31612,169.92062,0.30648833300782,0.564528285502797,3.18091707882929,-68.2130506885767,0.05604492,-0.011158681,-1.0038788,1.0055039,0.0004984076,0.0010974397,-0.0011452048,0.0016626117,0.00120531483977732,52.11,3.23042071025634,0.1,8,51.0249893,13.7241361,160.309,0,0.01,0.01,0.21182346,30.2784897176796,1,0,0,0,0,0,0,0,0,12.02,12.02,12.02,12.07,0,0,0,0,0,42,1,-681,0,0.568438275997918,3.17635448360098,103.776709770439,11977,3693.0347,73
66.08,170.31612,170.64572,0.30648833300782,0.480058727259042,3.19773718156657,-50.052609003011,0.058536593,-0.011157876,-1.0022916,1.0040615,-0.05048333,-0.0047461707,-0.00088599743,0.050713688,0.0507059455933444,52.1,3.23342292522104,18.5798910939169,170.31612,169.92062,0.30648833300782,0.564528285502797,3.18091707882929,-68.2130506885767,0.05604492,-0.011158681,-1.0038788,1.0055039,0.0004984076,0.0010974397,-0.0011452048,0.0016626117,0.00120531483977732,52.11,3.23042071025634,0.1,8,51.0249893,13.7241361,160.309,0,0.01,0.01,0.21182346,30.2784897176796,1,0,0,0,0,0,0,0,0,12.02,12.02,12.02,12.07,0,0,0,0,0,42,1,-681,0,0.568438275997918,3.17635448360098,103.776709770439,11977,3693.0347,73
66.119,170.31612,170.66023,0.30648833300782,0.491713175302404,3.2179938722133,-50.0525674645342,0.046020996,-0.006880343,-0.9984267,0.9995104,-0.049726073,-0.0035759248,-0.007409912,0.05040215,0.0498544850754888,52.14,3.25518833125487,18.5904682246823,170.31612,169.92056,0.30648833300782,0.560527106433837,3.17748913803185,-68.2205941943285,0.06105825,-0.012786472,-1.0081625,1.0100907,0.0005189978,0.0003856854,-0.0015404322,0.0016706416,0.000646615757587866,52.13,3.22635109998434,0.1,8,51.0249893,13.7241361,160.309,0,0.01,0.01,0.21182346,30.2784897176796,1,0,0,0,0,0,0,0,0,12.02,12.02,12.02,12.07,0,0,0,0,0,42,1,-681,0,0.567656384122039,3.17209581476547,103.779808444773,11977,3693.0347,73
66.16,170.31612,170.66023,0.30648833300782,0.491713175302404,3.2179938722133,-50.0525674645342,0.046020996,-0.006880343,-0.9984267,0.9995104,-0.049726073,-0.0035759248,-0.007409912,0.05040215,0.0498544850754888,52.14,3.25518833125487,18.5904682246823,170.31612,169.92056,0.30648833300782,0.560527106433837,3.17748913803185,-68.2205941943285,0.06105825,-0.012786472,-1.0081625,1.0100907,0.0005189978,0.0003856854,-0.0015404322,0.0016706416,0.000646615757587866,52.13,3.22635109998434,0.1,8,51.0249893,13.7241361,160.309,0,0.01,0.01,0.21182346,30.2784897176796,1,0,0,0,0,0,0,0,0,12.02,12.02,12.02,12.07,0,0,0,0,0,42,1,-681,0,0.567656384122039,3.17209581476547,103.779808444773,11977,3693.0347,73
66.199,170.31612,170.66023,0.30648833300782,0.491713175302404,3.2179938722133,-50.0525674645342,0.046020996,-0.006880343,-0.9984267,0.9995104,-0.049726073,-0.0035759248,-0.007409912,0.05040215,0.0498544850754888,52.14,3.25518833125487,18.5904682246823,170.31612,169.92047,0.30648833300782,0.567656213185807,3.19268250701229,-68.226599706299,0.04857568,-0.007802898,-1.0012023,1.0024104,-0.0002403175,-0.00070204836,-0.0013721538,0.0015599456,0.000742040704082023,52.16,3.24254886926948,0.1,8,51.0249893,13.7241361,160.309,0,0.01,0.01,0.21182346,30.2784897176796,1,0,0,0,0,0,0,0,0,12.02,12.02,12.02,12.07,0,0,0,0,0,42,1,-681,0,0.567656384122039,3.17209581476547,103.779808444773,11977,3693.0347,73
66.238,170.31612,170.66093,0.30648833300782,0.48693879733332,3.2044672656851,-50.0499495970576,0.06069358,-0.011473787,-1.0048504,1.0067471,-0.049924165,-0.0031757597,-0.00497659,0.050272003,0.0500250713441115,52.17,3.2411005035573,18.5983761719106,170.31612,169.92047,0.30648833300782,0.567656213185807,3.19268250701229,-68.226599706299,0.04857568,-0.007802898,-1.0012023,1.0024104,-0.0002403175,-0.00070204836,-0.0013721538,0.0015599456,0.000742040704082023,52.16,3.24254886926948,0.1,8,51.0249892,13.724136,160.272,-0.02,-0.01,0.01,0.21182346,30.2784897176796,1,0,0,0,0,0,0,0,0,12.02,12.02,12.02,12.07,0,0,0,0,0,42,1,-681,0,0.567656384122039,3.17209581476547,103.779808444773,11977,3693.0347,73
66.281,170.31612,170.66093,0.30648833300782,0.48693879733332,3.2044672656851,-50.0499495970576,0.06069358,-0.011473787,-1.0048504,1.0067471,-0.049924165,-0.0031757597,-0.00497659,0.050272003,0.0500250713441115,52.17,3.2411005035573,18.5983761719106,170.31612,169.92047,0.30648833300782,0.567656213185807,3.19268250701229,-68.226599706299,0.04857568,-0.007802898,-1.0012023,1.0024104,-0.0002403175,-0.00070204836,-0.0013721538,0.0015599456,0.000742040704082023,52.16,3.24254886926948,0.1,8,51.0249892,13.724136,160.272,-0.02,-0.01,0.01,0.21182346,30.2784897176796,1,0,0,0,0,0,0,0,0,12.02,12.02,12.02,12.07,0,0,0,0,0,42,1,-681,0,0.567656384122039,3.17209581476547,103.779808444773,11977,3693.0347,73
