Version|5
Timestamp Start|20100914_123322
Timestamp Ende|20100914_123352
Triggernummer|364
Trigger-Timestamp|20100914_123342
DD-Sensor|
Konfiguration|
Triggergrund|ESP-Algorithmus
GPS Start|20100914_123322|51.03397000|13.74831300
GPS Ende|20100914_123351|51.03440500|13.74938300
GPS Trigger|20100914_123342|51.03349800|13.74944100
GPS alt|||
Zeit|Signal|Wert|Einheit
0.00034|DR_Gierrate|-0.48828125|°/s
0.00103|DR_a_x|-0.03600000|g
0.00103|DR_a_y|0.04000000|g
0.00103|DR_a_z|0.94000000|g
0.00241|Blinker_L_S|aus|---
0.00241|Blinker_R_S|aus|---
0.00241|Blinker_Warnblinker_S|aus|---
0.00241|Licht_Abblend_S|an|---
0.00241|Licht_Fern_S|aus|---
0.00241|Licht_Hupe_S|aus|---
0.00241|Licht_Nebelschluss_S|aus|---
0.00241|Licht_Stand_S|an|---
0.00241|Zusatz_GW_Gurt_WL_1|aus|
0.00241|Zusatz_GW_Nebelschluss_KL|aus|
0.00379|ABS_E_1|regelt nicht|---
0.00379|Bremse_Pedal_S_2|nicht betaetigt|---
0.00379|FZ_a_y|0.01640000|g
0.00379|Zusatz_Bremse_Licht_S|nicht aktiv|
0.00448|ABS_E|regelt nicht|---
0.00448|Bremse_Pedal_S|nicht betaetigt|---
0.00586|FZ_Gierrate|0.42500000|°/s
0.00586|FZ_a_y_1|-0.03308000|g
0.00724|ESP_E_1|regelt nicht|---
0.00724|ESP_S|aktiv|
0.00724|Rad_n_HL|382.50000000|1/min
0.00724|Rad_n_HR|383.00000000|1/min
0.00724|Zusatz_Bremse_Moment|0.00000000|
0.00793|ABS_WL|aus|---
0.00793|Bremse_DOT_S|ok|---
0.00793|Bremse_Hand|geloest|---
0.00793|Bremse_Pedal_S_1|nicht betaetigt|---
0.00793|ESP_E|regelt nicht|---
0.00793|ESP_KL|aus|
0.00793|Rad_n_VL|386.00000000|1/min
0.00793|Rad_n_VL_1|386.00000000|1/min
0.00793|Rad_n_VR|386.00000000|1/min
0.00862|Lenkrad_W_B|3.98580000|°
0.00862|Lenkrad_W_R|links|---
0.00862|Lenkrad_W_v_B|0.00000000|°/s
0.00862|Lenkrad_W_v_R|links|°/s
0.01000|Gang_Getriebe|4|---
0.01000|Gang_Wahl|4|---
0.01000|Zusatz_GW_Werkstatt_KL|aus|
0.01000|Zusatz_Gang_Anzeige_KI|m 4|---
0.01069|ESP_S_1|aktiv|---
0.01069|Motor_n|1635.00000000|1/min
0.01138|Airbag_WL|aus|---
0.01138|Airbag_WL_1|aus|---
0.01138|Gurt_VL|gesteckt|---
