Version|5
Timestamp Start|20110126_212236
Timestamp Ende|20110126_212306
Triggernummer|152
Trigger-Timestamp|20110126_212256
DD-Sensor|
Konfiguration|
Triggergrund|Verzögerung
GPS Start|20110126_212237|51.03374000|13.73071800
GPS Ende|20110126_212306|51.03053600|13.73057800
GPS Trigger|20110126_212257|51.03099300|13.73044000
GPS alt|||
Zeit|Signal|Wert|Einheit
0.00059|DR_Gierrate|0.24414062|°/s
0.00176|DR_a_x|0.03600000|g
0.00176|DR_a_y|0.02400000|g
0.00176|DR_a_z|1.06000000|g
0.00412|Lenkrad_W_B|0.00000000|°
0.00412|Lenkrad_W_R|links|---
0.00412|Lenkrad_W_v_B|0.00000000|°/s
0.00412|Lenkrad_W_v_R|links|---
0.00529|Gang_Getriebe|5|---
0.00529|Gang_Wahl|5|---
0.00529|Motor_n|2080.00000000|1/min
0.00529|Zusatz_Fahr_S|fz. schneller als 10 km/h|
0.00882|Bremse_Pedal_S_1|nicht betaetigt|---
0.00882|FZ_a_y_1|0.00000000|g
0.00882|GW_ESP_KL_2|an|
0.00882|Gaspedal_W|38.40000000|%
0.01000|GW_ESP_KL_1|aus|
0.01000|Motor_KL|aus|---
0.01000|Motor_n_1|2075.00000000|1/min
0.01000|Zusatz_GW_Batterie_WL|aus|
0.01000|Zusatz_GW_Oeldruck_WL|aus|
0.01000|Zusatz_Gang_Anzeige_KI|5|---
0.01000|Zusatz_Motor_Kuehlung_S|aus|
0.01000|Zusatz_Motor_Temperatur|71.00000000|°C
0.01000|Zusatz_Parksperre|Parksperre aus|
0.01000|Zusatz_Zuendung_Ganganzeige|Zuendung an|
0.01118|Rad_n_HL|546.50000000|1/min
0.01118|Rad_n_HR|546.50000000|1/min
0.01118|Rad_n_VL|538.00000000|1/min
0.01118|Rad_n_VR|537.50000000|1/min
0.01235|ABS_E|regelt nicht|---
0.01235|Bremse_DOT_S|ok|---
0.01235|Bremse_Pedal_S|nicht betaetigt|---
0.01235|ESP_E|regelt nicht|---
0.01235|FZ_v_1|56.00000000|km/h
0.01235|GW_ABS_WL|aus|---
0.01235|GW_ABS_WL_1|aus|---
0.01235|GW_ESP_KL|aus|---
0.01353|FZ_a_y|0.00000000|g
0.01353|FZ_a_y_2|-0.05200000|g
0.01471|Blinker_L_S|aus|---
0.01471|Blinker_R_S|aus|---
0.01471|Blinker_Warnblinker_S|aus|---
0.01471|Bremse_Hand|geloest|---
0.01471|KM|35686.00000000|km
0.01471|Licht_Stand_S|an|---
0.01471|Zusatz_Anlassschalter|aus|
0.01471|Zusatz_Heckscheibe_Heizung|aus|
0.01471|Zusatz_Klimaanlage|aus|
0.01471|Zusatz_Lueftung_Innenraum_S|an|
0.01471|Zusatz_Tuer_links|geschlossen|
0.01471|Zusatz_Tuer_rechts|geschlossen|
0.01588|Lenkrad_W_B|0.00000000|°
0.01588|Lenkrad_W_R|links|---
0.01588|Lenkrad_W_v_B|0.00000000|°/s
0.01588|Lenkrad_W_v_R|links|---
0.01706|Bremse_Pedal_S_1|nicht betaetigt|---
0.01706|FZ_a_y_1|0.00000000|g
0.01706|GW_ESP_KL_2|an|
0.01706|Gaspedal_W|38.40000000|%
0.01941|FZ_v|56.00000000|km/h
0.01941|Temperatur_Aussen|1.00000000|°C
0.02188|DR_Gierrate|-1.22070312|°/s
0.02313|DR_a_x|0.00400000|g
0.02313|DR_a_y|0.02800000|g
0.02313|DR_a_z|1.07600000|g
0.02438|Lenkrad_W_B|0.00000000|°
