Version|5
Timestamp Start|20120221_190637
Timestamp Ende|20120221_190657
Triggernummer|3140
Trigger-Timestamp|20120221_190647
DD-Sensor|03B00055U
Konfiguration|03B00055U_20111122_113546.dcf
Triggergrund|Verzoegerung
GPS Start|20120221_190637|51.02978000|13.75716000
GPS Ende|20120221_190657|51.03359600|13.75015800
GPS Trigger|20120221_190648|51.03326300|13.75030300
GPS alt|||
Zeit|Signal|Wert|Einheit
0.00000|DR_Gierrate|0.48828125|°/s
0.00000|DR_a_x|-0.06800000|g
0.00000|DR_a_y|0.03200000|g
0.00000|DR_a_z|0.91200000|g
0.00200|Batterie_U|14.20000000|V
0.00200|FZ_v|43.70000000|km/h
0.00200|KM|28852.00000000|km
0.00200|GW_ESP_KL|aus|
0.00200|Gaspedal_W|0.00000000|%
0.00200|Zusatz_Kickdown|nicht betaetigt|---
0.00400|Motor_KL|aus|
0.00400|Zusatz_GW_Batterie_WL|aus|
0.00400|Zusatz_GW_KuehlMtemp_WL|aus|
0.00400|Zusatz_GW_Oeldruck_WL|aus|
0.00400|Airbag_WL|aus|---
0.00400|Airbag_WL_1|aus|---
0.00400|Gurt_VL|gesteckt|---
0.00400|Zusatz_GW_Gurt_WL|aus|
0.00500|Lenkrad_W_B|4.46760000|°
0.00500|Lenkrad_W_R|links|---
0.00500|Lenkrad_W_v_B|0.00000000|°/s
0.00500|Lenkrad_W_v_R|links|°/s
0.00900|Blinker_L_S|aus|---
0.00900|Blinker_R_S|aus|---
0.00900|Blinker_Warnblinker_S|aus|---
0.00900|Licht_Abblend_S|an|---
0.00900|Licht_Fern_S|aus|---
0.00900|Licht_Hupe_S|aus|---
0.00900|Licht_Nebelschluss_S|aus|---
0.00900|Licht_Stand_S|an|---
0.00900|Zusatz_GW_Gurt_WL_1|aus|
0.00900|Zusatz_GW_Nebelschluss_KL|aus|
0.00900|ESP_S_1|aktiv|---
0.00900|Motor_n|2321.00000000|1/min
0.00900|Temperatur_Aussen|3.00000000|°C
0.00900|Zusatz_Licht_Instrumente|70.00000000|%
0.01500|Lenkrad_W_B|4.46760000|°
0.01500|Lenkrad_W_R|links|---
0.01500|Lenkrad_W_v_B|0.00000000|°/s
0.01500|Lenkrad_W_v_R|links|°/s
0.01500|ABS_E_1|regelt nicht|---
0.01500|Bremse_Pedal_S_2|nicht betaetigt|---
0.01500|FZ_a_y|0.05940000|g
0.01500|Zusatz_Bremse_Licht_S|nicht aktiv|
0.01600|ABS_E|regelt nicht|---
0.01600|Bremse_Pedal_S|nicht betaetigt|---
0.01600|ESP_E_1|regelt nicht|---
0.01600|ESP_S|aktiv|
0.01600|Rad_n_HL|400.50000000|1/min
0.01600|Rad_n_HR|401.00000000|1/min
0.01600|Zusatz_Bremse_Moment|0.00000000|
0.01600|FZ_Gierrate|-0.09500000|°/s
0.01600|FZ_a_y_1|-0.00994000|g
0.01700|ABS_WL|aus|---
0.01700|Bremse_DOT_S|ok|---
0.01700|Bremse_Hand|geloest|---
0.01700|Bremse_Pedal_S_1|nicht betaetigt|---
0.01700|ESP_E|regelt nicht|---
0.01700|ESP_KL|aus|
0.01700|Rad_n_VL|401.50000000|1/min
0.01700|Rad_n_VL_1|401.50000000|1/min
0.01700|Rad_n_VR|400.50000000|1/min
0.01900|Gang_Getriebe|3|---
0.01900|Gang_Wahl|3|---
0.01900|Zusatz_GW_Werkstatt_KL|aus|
0.01900|Zusatz_Gang_Anzeige_KI|m 3|---
0.01900|ESP_S_1|aktiv|---
0.01900|Motor_n|2312.00000000|1/min
0.02000|DR_Gierrate|0.24414062|°/s
0.02000|DR_a_x|-0.02000000|g
0.02000|DR_a_y|0.02000000|g
0.02000|DR_a_z|0.98400000|g
0.02000|DR_Gps_Latitude|51.02978000|°
0.02000|DR_Gps_Longitude|13.75716000|°
0.02000|DR_Gps_v|57.60000000|km/h
0.02000|DR_Gps_Date|210212|
0.02000|DR_Gps_Time|190555|
0.02200|GW_ESP_KL|aus|
0.02200|Gaspedal_W|0.00000000|%
0.02200|Zusatz_Kickdown|nicht betaetigt|---
0.02400|Motor_KL|aus|
0.02400|Zusatz_GW_Batterie_WL|aus|
0.02400|Zusatz_GW_KuehlMtemp_WL|aus|
0.02400|Zusatz_GW_Oeldruck_WL|aus|
0.02400|Airbag_WL|aus|---
0.02400|Airbag_WL_1|aus|---
0.02400|Gurt_VL|gesteckt|---
0.02400|Zusatz_GW_Gurt_WL|aus|
0.02500|Lenkrad_W_B|4.46760000|°
0.02500|Lenkrad_W_R|links|---
0.02500|Lenkrad_W_v_B|0.00000000|°/s
0.02500|Lenkrad_W_v_R|links|°/s
0.02900|Blinker_L_S|aus|---
0.02900|Blinker_R_S|aus|---
0.02900|Blinker_Warnblinker_S|aus|---
0.02900|Licht_Abblend_S|an|---
0.02900|Licht_Fern_S|aus|---
0.02900|Licht_Hupe_S|aus|---
0.02900|Licht_Nebelschluss_S|aus|---
0.02900|Licht_Stand_S|an|---
0.02900|Zusatz_GW_Gurt_WL_1|aus|
0.02900|Zusatz_GW_Nebelschluss_KL|aus|
0.02900|ESP_S_1|aktiv|---
0.02900|Motor_n|2306.00000000|1/min
0.03500|Lenkrad_W_B|4.46760000|°
0.03500|Lenkrad_W_R|links|---
0.03500|Lenkrad_W_v_B|0.00000000|°/s
0.03500|Lenkrad_W_v_R|links|°/s
0.03500|ABS_E_1|regelt nicht|---
0.03500|Bremse_Pedal_S_2|nicht betaetigt|---
0.03500|FZ_a_y|0.02500000|g
0.03500|Zusatz_Bremse_Licht_S|nicht aktiv|
0.03600|ABS_E|regelt nicht|---
0.03600|Bremse_Pedal_S|nicht betaetigt|---
0.03600|FZ_Gierrate|-0.03500000|°/s
0.03600|FZ_a_y_1|-0.06077000|g
0.03700|ESP_E_1|regelt nicht|---
0.03700|ESP_S|aktiv|
0.03700|Rad_n_HL|399.50000000|1/min
0.03700|Rad_n_HR|400.00000000|1/min
0.03700|Zusatz_Bremse_Moment|0.00000000|
0.03700|ABS_WL|aus|---
0.03700|Bremse_DOT_S|ok|---
0.03700|Bremse_Hand|geloest|---
0.03700|Bremse_Pedal_S_1|nicht betaetigt|---
0.03700|ESP_E|regelt nicht|---
0.03700|ESP_KL|aus|
0.03700|Rad_n_VL|400.50000000|1/min
0.03700|Rad_n_VL_1|400.50000000|1/min
0.03700|Rad_n_VR|399.50000000|1/min
0.03900|Gang_Getriebe|3|---
0.03900|Gang_Wahl|3|---
0.03900|Zusatz_GW_Werkstatt_KL|aus|
0.03900|Zusatz_Gang_Anzeige_KI|m 3|---
0.03900|ESP_S_1|aktiv|---
0.03900|Motor_n|2291.00000000|1/min
0.04000|DR_Gierrate|-0.24414062|°/s
0.04000|DR_a_x|-0.00400000|g
0.04000|DR_a_y|0.02800000|g
0.04000|DR_a_z|1.04000000|g
0.04300|GW_ESP_KL|aus|
0.04300|Gaspedal_W|0.00000000|%
0.04300|Zusatz_Kickdown|nicht betaetigt|---
0.04400|Motor_KL|aus|
0.04400|Zusatz_GW_Batterie_WL|aus|
0.04400|Zusatz_GW_KuehlMtemp_WL|aus|
0.04400|Zusatz_GW_Oeldruck_WL|aus|
0.04500|Airbag_WL|aus|---
0.04500|Airbag_WL_1|aus|---
0.04500|Gurt_VL|gesteckt|---
0.04500|Zusatz_GW_Gurt_WL|aus|
0.04500|Lenkrad_W_B|3.98580000|°
0.04500|Lenkrad_W_R|links|---
0.04500|Lenkrad_W_v_B|4.80700000|°/s
0.04500|Lenkrad_W_v_R|rechts|°/s
0.04900|Blinker_L_S|aus|---
0.04900|Blinker_R_S|aus|---
0.04900|Blinker_Warnblinker_S|aus|---
0.04900|Licht_Abblend_S|an|---
0.04900|Licht_Fern_S|aus|---
0.04900|Licht_Hupe_S|aus|---
0.04900|Licht_Nebelschluss_S|aus|---
0.04900|Licht_Stand_S|an|---
0.04900|Zusatz_GW_Gurt_WL_1|aus|
0.04900|Zusatz_GW_Nebelschluss_KL|aus|
0.04900|ESP_S_1|aktiv|---
0.04900|Motor_n|2285.00000000|1/min
0.05500|Lenkrad_W_B|3.98580000|°
0.05500|Lenkrad_W_R|links|---
0.05500|Lenkrad_W_v_B|4.80700000|°/s
0.05500|Lenkrad_W_v_R|rechts|°/s
0.05500|FZ_Gierrate|0.27000000|°/s
0.05500|FZ_a_y_1|-0.09847000|g
0.05600|ABS_E_1|regelt nicht|---
0.05600|Bremse_Pedal_S_2|nicht betaetigt|---
0.05600|FZ_a_y|-0.01800000|g
0.05600|Zusatz_Bremse_Licht_S|nicht aktiv|
0.05600|ABS_E|regelt nicht|---
0.05600|Bremse_Pedal_S|nicht betaetigt|---
0.05700|ESP_E_1|regelt nicht|---
0.05700|ESP_S|aktiv|
0.05700|Rad_n_HL|399.50000000|1/min
0.05700|Rad_n_HR|401.00000000|1/min
0.05700|Zusatz_Bremse_Moment|0.00000000|
0.05700|ABS_WL|aus|---
0.05700|Bremse_DOT_S|ok|---
0.05700|Bremse_Hand|geloest|---
0.05700|Bremse_Pedal_S_1|nicht betaetigt|---
0.05700|ESP_E|regelt nicht|---
0.05700|ESP_KL|aus|
0.05700|Rad_n_VL|401.00000000|1/min
0.05700|Rad_n_VL_1|401.00000000|1/min
0.05700|Rad_n_VR|401.00000000|1/min
0.06000|DR_Gierrate|0.24414062|°/s
0.06000|DR_a_x|-0.04400000|g
0.06000|DR_a_y|0.00800000|g
0.06000|DR_a_z|1.07600000|g
0.06000|Gang_Getriebe|3|---
0.06000|Gang_Wahl|3|---
0.06000|Zusatz_GW_Werkstatt_KL|aus|
0.06000|Zusatz_Gang_Anzeige_KI|m 3|---
0.06000|ESP_S_1|aktiv|---
0.06000|Motor_n|2274.00000000|1/min
0.06300|GW_ESP_KL|aus|
0.06300|Gaspedal_W|0.00000000|%
0.06300|Zusatz_Kickdown|nicht betaetigt|---
0.06400|Motor_KL|aus|
0.06400|Zusatz_GW_Batterie_WL|aus|
0.06400|Zusatz_GW_KuehlMtemp_WL|aus|
0.06400|Zusatz_GW_Oeldruck_WL|aus|
0.06500|Airbag_WL|aus|---
0.06500|Airbag_WL_1|aus|---
0.06500|Gurt_VL|gesteckt|---
0.06500|Zusatz_GW_Gurt_WL|aus|
0.06500|Lenkrad_W_B|3.98580000|°
0.06500|Lenkrad_W_R|links|---
0.06500|Lenkrad_W_v_B|4.80700000|°/s
0.06500|Lenkrad_W_v_R|rechts|°/s
0.06900|Blinker_L_S|aus|---
0.06900|Blinker_R_S|aus|---
0.06900|Blinker_Warnblinker_S|aus|---
0.06900|Licht_Abblend_S|an|---
0.06900|Licht_Fern_S|aus|---
0.06900|Licht_Hupe_S|aus|---
0.06900|Licht_Nebelschluss_S|aus|---
0.06900|Licht_Stand_S|an|---
0.06900|Zusatz_GW_Gurt_WL_1|aus|
0.06900|Zusatz_GW_Nebelschluss_KL|aus|
0.07000|ESP_S_1|aktiv|---
0.07000|Motor_n|2268.00000000|1/min
0.07500|Lenkrad_W_B|3.98580000|°
0.07500|Lenkrad_W_R|links|---
0.07500|Lenkrad_W_v_B|4.80700000|°/s
0.07500|Lenkrad_W_v_R|rechts|°/s
0.07500|FZ_Gierrate|0.55000000|°/s
0.07500|FZ_a_y_1|-0.07364000|g
0.07600|ABS_E_1|regelt nicht|---
0.07600|Bremse_Pedal_S_2|nicht betaetigt|---
0.07600|FZ_a_y|-0.06100000|g
0.07600|Zusatz_Bremse_Licht_S|nicht aktiv|
0.07600|ABS_E|regelt nicht|---
0.07600|Bremse_Pedal_S|nicht betaetigt|---
0.07700|ESP_E_1|regelt nicht|---
0.07700|ESP_S|aktiv|
0.07700|Rad_n_HL|402.00000000|1/min
0.07700|Rad_n_HR|402.00000000|1/min
0.07700|Zusatz_Bremse_Moment|0.00000000|
0.07700|ABS_WL|aus|---
0.07700|Bremse_DOT_S|ok|---
0.07700|Bremse_Hand|geloest|---
0.07700|Bremse_Pedal_S_1|nicht betaetigt|---
0.07700|ESP_E|regelt nicht|---
0.07700|ESP_KL|aus|
0.07700|Rad_n_VL|401.50000000|1/min
0.07700|Rad_n_VL_1|401.50000000|1/min
0.07700|Rad_n_VR|401.50000000|1/min
0.07900|Gang_Getriebe|3|---
