Version|5
Timestamp Start|20120404_052301
Timestamp Ende|20120404_052331
Triggernummer|4096
Trigger-Timestamp|20120404_052321
DD-Sensor|03B00055U
Konfiguration|03B00055U_20120315_120255.dcf
Triggergrund|Bremse_p_Lukas
GPS Start|20120404_052301|51.03289800|13.74997000
GPS Ende|20120404_052330|51.03488500|13.74945800
GPS Trigger|20120404_052321|51.03460300|13.74945500
GPS alt|||
Zeit|Signal|Wert|Einheit
0.00000|DR_Gierrate|-0.48828125|°/s
0.00000|DR_a_x|0.01200000|g
0.00000|DR_a_y|0.06800000|g
0.00000|DR_a_z|0.94400000|g
0.00300|Gang_Getriebe|3|---
0.00300|Gang_Wahl|3|---
0.00300|Zusatz_GW_Werkstatt_KL|aus|
0.00300|Zusatz_Gang_Anzeige_KI|a 3|---
0.00326|ESP_S_1|aktiv|---
0.00326|Motor_n|1200.00000000|1/min
0.00650|GW_ESP_KL|aus|
0.00650|Gaspedal_W|0.00000000|%
0.00650|Zusatz_Kickdown|nicht betaetigt|---
0.00671|Lenkrad_W_B|3.98580000|°
0.00671|Lenkrad_W_R|links|---
0.00671|Lenkrad_W_v_B|0.00000000|°/s
0.00671|Lenkrad_W_v_R|links|°/s
0.00711|Motor_KL|aus|
0.00711|Zusatz_GW_Batterie_WL|aus|
0.00711|Zusatz_GW_KuehlMtemp_WL|aus|
0.00711|Zusatz_GW_Oeldruck_WL|aus|
0.00760|ABS_E_1|regelt nicht|---
0.00760|Bremse_Pedal_S_2|nicht betaetigt|---
0.00760|FZ_a_y|0.00780000|g
0.00760|Zusatz_Bremse_Licht_S|nicht aktiv|
0.00783|ABS_E|regelt nicht|---
0.00783|Bremse_Pedal_S|nicht betaetigt|---
0.00807|FZ_Gierrate|-0.23500000|°/s
0.00807|FZ_a_y_1|-0.06220000|g
0.00880|ESP_E_1|regelt nicht|---
0.00880|ESP_S|aktiv|
0.00880|Rad_n_HL|344.50000000|1/min
0.00880|Rad_n_HR|345.00000000|1/min
0.00880|Zusatz_Bremse_Moment|0.00000000|
0.00904|ABS_WL|aus|---
0.00904|Bremse_DOT_S|ok|---
0.00904|Bremse_Hand|geloest|---
0.00904|Bremse_Pedal_S_1|nicht betaetigt|---
0.00904|ESP_E|regelt nicht|---
0.00904|ESP_KL|aus|
0.00904|Rad_n_VL|344.00000000|1/min
0.00904|Rad_n_VL_1|344.00000000|1/min
0.00904|Rad_n_VR|343.00000000|1/min
0.00929|Airbag_WL|aus|---
0.00929|Airbag_WL_1|aus|---
0.00929|Gurt_VL|gesteckt|---
0.00929|Zusatz_GW_Gurt_WL|aus|
0.01063|Batterie_U|14.30000000|V
0.01063|FZ_v|38.00000000|km/h
0.01063|KM|29964.00000000|km
0.01308|ESP_S_1|aktiv|---
0.01308|Motor_n|1199.00000000|1/min
0.01656|Lenkrad_W_B|3.98580000|°
0.01656|Lenkrad_W_R|links|---
0.01656|Lenkrad_W_v_B|0.00000000|°/s
0.01656|Lenkrad_W_v_R|links|°/s
0.01743|Blinker_L_S|aus|---
0.01743|Blinker_R_S|aus|---
0.01743|Blinker_Warnblinker_S|aus|---
0.01743|Licht_Abblend_S|aus|---
0.01743|Licht_Fern_S|aus|---
0.01743|Licht_Hupe_S|aus|---
0.01743|Licht_Nebelschluss_S|aus|---
0.01743|Licht_Stand_S|aus|---
0.01743|Zusatz_GW_Gurt_WL_1|aus|
0.01743|Zusatz_GW_Nebelschluss_KL|aus|
0.01764|Temperatur_Aussen|8.50000000|°C
0.01764|Zusatz_Licht_Instrumente|0.00000000|%
0.02000|DR_Gierrate|0.00000000|°/s
0.02000|DR_a_x|0.00800000|g
0.02000|DR_a_y|0.07200000|g
0.02000|DR_a_z|0.91600000|g
0.02280|Gang_Getriebe|3|---
0.02280|Gang_Wahl|3|---
0.02280|Zusatz_GW_Werkstatt_KL|aus|
0.02280|Zusatz_Gang_Anzeige_KI|a 3|---
0.02303|ESP_S_1|aktiv|---
0.02303|Motor_n|1202.00000000|1/min
0.02629|GW_ESP_KL|aus|
0.02629|Gaspedal_W|0.00000000|%
0.02629|Zusatz_Kickdown|nicht betaetigt|---
0.02653|Motor_KL|aus|
0.02653|Zusatz_GW_Batterie_WL|aus|
0.02653|Zusatz_GW_KuehlMtemp_WL|aus|
0.02653|Zusatz_GW_Oeldruck_WL|aus|
0.02712|Lenkrad_W_B|3.98580000|°
0.02712|Lenkrad_W_R|links|---
0.02712|Lenkrad_W_v_B|0.00000000|°/s
0.02712|Lenkrad_W_v_R|links|°/s
0.02760|ABS_E_1|regelt nicht|---
0.02760|Bremse_Pedal_S_2|nicht betaetigt|---
0.02760|FZ_a_y|-0.01800000|g
0.02760|Zusatz_Bremse_Licht_S|nicht aktiv|
0.02784|ABS_E|regelt nicht|---
0.02784|Bremse_Pedal_S|nicht betaetigt|---
0.02807|FZ_Gierrate|0.10500000|°/s
0.02807|FZ_a_y_1|-0.06285000|g
0.02880|ESP_E_1|regelt nicht|---
0.02880|ESP_S|aktiv|
0.02880|Rad_n_HL|343.50000000|1/min
0.02880|Rad_n_HR|345.00000000|1/min
0.02880|Zusatz_Bremse_Moment|0.00000000|
0.02905|ABS_WL|aus|---
0.02905|Bremse_DOT_S|ok|---
0.02905|Bremse_Hand|geloest|---
0.02905|Bremse_Pedal_S_1|nicht betaetigt|---
0.02905|ESP_E|regelt nicht|---
0.02905|ESP_KL|aus|
0.02905|Rad_n_VL|344.00000000|1/min
0.02905|Rad_n_VL_1|344.00000000|1/min
0.02905|Rad_n_VR|343.50000000|1/min
0.03054|Airbag_WL|aus|---
0.03054|Airbag_WL_1|aus|---
0.03054|Gurt_VL|gesteckt|---
0.03054|Zusatz_GW_Gurt_WL|aus|
0.03340|ESP_S_1|aktiv|---
0.03340|Motor_n|1203.00000000|1/min
0.03668|Lenkrad_W_B|4.46760000|°
0.03668|Lenkrad_W_R|links|---
0.03668|Lenkrad_W_v_B|4.80700000|°/s
0.03668|Lenkrad_W_v_R|links|°/s
0.03744|Blinker_L_S|aus|---
0.03744|Blinker_R_S|aus|---
0.03744|Blinker_Warnblinker_S|aus|---
0.03744|Licht_Abblend_S|aus|---
0.03744|Licht_Fern_S|aus|---
0.03744|Licht_Hupe_S|aus|---
0.03744|Licht_Nebelschluss_S|aus|---
0.03744|Licht_Stand_S|aus|---
0.03744|Zusatz_GW_Gurt_WL_1|aus|
0.03744|Zusatz_GW_Nebelschluss_KL|aus|
0.04000|DR_Gierrate|0.48828125|°/s
0.04000|DR_a_x|-0.00800000|g
0.04000|DR_a_y|0.07600000|g
0.04000|DR_a_z|0.91200000|g
0.04327|Gang_Getriebe|3|---
0.04327|Gang_Wahl|3|---
0.04327|Zusatz_GW_Werkstatt_KL|aus|
0.04327|Zusatz_Gang_Anzeige_KI|a 3|---
0.04348|ESP_S_1|aktiv|---
0.04348|Motor_n|1201.00000000|1/min
0.04665|GW_ESP_KL|aus|
0.04665|Gaspedal_W|0.00000000|%
0.04665|Zusatz_Kickdown|nicht betaetigt|---
0.04688|Lenkrad_W_B|4.94940000|°
0.04688|Lenkrad_W_R|links|---
